title;type;start;end;row;tooltip;class
-2,6M;date;-26M;;;;
-21000;date;-21000;;;;
-17000;date;-17000;;;;
-14000;date;-14000;;;;
-11700;date;-11700;;;; 
-6400;date;-6400;;;;
-5000;date;-5000;;;;
-3800;date;-3800;;;;
-3300;date;-3300;;;; 
-2000;date;-2000;;;;
-1000;date;-1000;;;;
-771;date;-771;;;;
-753;date;-753;;;;
-650;date;-650;;;;
-510;date;-510;;;;
-509;date;-509;;;;
-500;date;-500;;;;
-481;date;-481;;;;
-380;date;-380;;;;
-348;date;-348;;;;
-323;date;-323;;;;
-221;date;-221;;;;
-206;date;-206;;;;
-138;date;-138;;;;
-127;date;-127;;;;
-126;date;-126;;;;
-63;date;-63;;;;
-59;date;-59;;;;
-52;date;-52;;;;
-49;date;-49;;;;
-44;date;-44;;;;
-31;date;-31;;;;
-27;date;-27;;;;
-15;date;-15;;;;
14;date;14;;;;
37;date;37;;;;
41;date;41;;;;
54;date;54;;;;
68;date;68;;;;
69;date;69;;;;
77;date;77;;;;
79;date;79;;;;
81;date;81;;;;
96;date;96;;;;
98;date;98;;;;
117;date;117;;;;
138;date;138;;;;
161;date;161;;;;
169;date;169;;;;
180;date;180;;;;
192;date;192;;;;
193;date;193;;;;
211;date;211;;;;
217;date;217;;;;
218;date;218;;;;
220;date;220;;;;
222;date;222;;;;
235;date;235;;;;
238;date;238;;;;
244;date;244;;;;
249;date;249;;;;
251;date;251;;;;
253;date;253;;;;
260;date;260;;;;
265;date;265;;;;
268;date;268;;;;
270;date;270;;;;
275;date;275;;;;
276;date;276;;;;
280;date;280;;;;
282;date;282;;;;
283;date;283;;;;
284;date;284;;;;
285;date;285;;;;
286;date;286;;;;
305;date;305;;;;
316;date;316;;;;
420;date;420;;;;
476;date;476;;;; 
479;date;479;;;;
481;date;481;;;;
502;date;502;;;;
511;date;511;;;;
557;date;557;;;;
558;date;558;;;;
561;date;561;;;;
581;date;581;;;;
589;date;589;;;;
604;date;604;;;;
613;date;613;;;;
618;date;618;;;;
629;date;629;;;;
639;date;639;;;;
690;date;690;;;;
705;date;705;;;;
751;date;751;;;;
768;date;768;;;;
800;date;800;;;;
814;date;814;;;;
840;date;840;;;;
843;date;843;;;;
877;date;877;;;;
879;date;879;;;;
884;date;884;;;;
898;date;898;;;;
907;date;907;;;;
922;date;922;;;;
923;date;923;;;;
924;date;924;;;;
936;date;936;;;;
954;date;954;;;;
986;date;986;;;;
987;date;987;;;;
996;date;996;;;;
1030;date;1030;;;;
1031;date;1031;;;;
1060;date;1060;;;;
1095;date;1095;;;;
1100;date;1100;;;;
1108;date;1108;;;;
1137;date;1137;;;;
1180;date;1180;;;;
1223;date;1223;;;;
1226;date;1226;;;;
1270;date;1270;;;;
1285;date;1285;;;;
1291;date;1291;;;;
1299;date;1299;;;;
1300;date;1300;;;;
1314;date;1314;;;;
1316;date;1316;;;;
1322;date;1322;;;;
1328;date;1328;;;;
1337;date;1337;;;;
1350;date;1350;;;;
1364;date;1364;;;;
1380;date;1380;;;;
1400;date;1400;;;;
1409;date;1409;;;;
1420;date;1420;;;;
1422;date;1422;;;;
1430;date;1430;;;;
1434;date;1434;;;;
1440;date;1440;;;;
1453;date;1453;;;;
1461;date;1461;;;;
1473;date;1473;;;;
1483;date;1483;;;;
1492;date;1492;;;;
1498;date;1498;;;;
1500;date;1500;;;;
1503;date;1503;;;;
1512;date;1512;;;;
1515;date;1515;;;;
1516;date;1516;;;;
1517;date;1517;;;;
1529;date;1529;;;;
1540;date;1540;;;;
1547;date;1547;;;;
1550;date;1550;;;;
1559;date;1559;;;;
1560;date;1560;;;;
1574;date;1574;;;;
1580;date;1580;;;;
1589;date;1589;;;;
1594;date;1594;;;;
1600;date;1600;;;;
1610;date;1610;;;;
1642;date;1642;;;;
1643;date;1643;;;;
1648;date;1648;;;;
1653;date;1653;;;;
1660;date;1660;;;;
1662;date;1662;;;;
1673;date;1673;;;;
1682;date;1682;;;;
1700;date;1700;;;;
1710;date;1710;;;;
1715;date;1715;;;;
1722;date;1722;;;;
1725;date;1725;;;;
1747;date;1747;;;;
1750;date;1750;;;;
1751;date;1751;;;;
1756;date;1756;;;;
1774;date;1774;;;;
1777;date;1777;;;;
1789;date;1789;;;;
1792;date;1792;;;;
1793;date;1793;;;;
1795;date;1795;;;;
1798;date;1798;;;;
1800;date;1800;;;;
1801;date;1801;;;;
1802;date;1802;;;;
1803;date;1803;;;;
1804;date;1804;;;;
1805;date;1805;;;;
1806;date;1806;;;;
1810;date;1810;;;;
1812;date;1812;;;;
1813;date;1813;;;;
1814;date;1814;;;;
1815;date;1815;;;;
1816;date;1816;;;;
1819;date;1819;;;;
1820;date;1820;;;;
1824;date;1824;;;;
1827;date;1827;;;;
1830;date;1830;;;;
1834;date;1834;;;;
1837;date;1837;;;;
1839;date;1839;;;;
1841;date;1841;;;;
1844;date;1844;;;;
1846;date;1846;;;;
1847;date;1847;;;;
1848;date;1848;;;;
1849;date;1849;;;;
1850;date;1850;;;;
1851;date;1851;;;;
1852;date;1852;;;;
1853;date;1853;;;;
1855;date;1855;;;;
1856;date;1856;;;;
1859;date;1859;;;;
1860;date;1860;;;;
1861;date;1861;;;;
1862;date;1862;;;;
1863;date;1863;;;;
1867;date;1867;;;;
1870;date;1870;;;;
1871;date;1871;;;;
1872;date;1872;;;;
1875;date;1875;;;;
1880;date;1880;;;;
1881;date;1881;;;;
1884;date;1884;;;;
1885;date;1885;;;;
1886;date;1886;;;;
1888;date;1888;;;;
1889;date;1889;;;;
1890;date;1890;;;;
1893;date;1893;;;;
1894;date;1894;;;;
1895;date;1895;;;;
1897;date;1897;;;;
1899;date;1899;;;;
